OBJECTID,Join_Count,TARGET_FID,stop_id,stop_name,stop_lat,stop_lon,suburb
1,1,0,7951,Buckley Road (near 108),-41.33689713,174.7827608,Southgate
3,1,2,7786,Aro Street opposite Holloway Road,-41.293883,174.761684,Aro Valley
6,1,5,6913,Taranaki Street (near 217),-41.29900253,174.7752786,Mount Cook
8,1,7,6559,Hataitai Road at Hataitai School,-41.2978909,174.8004493,Hataitai
9,1,8,6163,Houghton Bay - The Esplanade (near 86),-41.341733,174.784566,Houghton Bay
10,1,9,5410,Cockayne Road (near 196),-41.25263441,174.7798706,Ngaio
11,1,10,3014,Ohariu Road (near 67),-41.21715345,174.8025273,Johnsonville
12,1,11,RARO,Raroa Station,-41.23225739,174.8017479,Johnsonville
13,1,12,7729,Quebec Street at Baffin Grove,-41.32097999,174.7635688,Kingston
15,1,14,4936,Mairangi - Norwich Street,-41.26503531,174.764211,Wadestown
16,1,15,3921,Redwood School (school stop),-41.181721,174.821667,Tawa
17,1,16,3237,Churton Drive at Windermeer Grove,-41.21162677,174.8094557,Churton Park
19,1,18,6936,Hungerford Road at Houghton Bay Road,-41.33880744,174.7873543,Houghton Bay
20,1,19,7044,Inglis Street opposite Mantell Street,-41.32819752,174.8319928,Seatoun
23,1,22,7014,Adelaide Road at Basin Reserve (near 12),-41.30174187,174.7795879,Mount Cook
24,1,23,3212,Burbank Crescent at Wantwood Street,-41.20541744,174.8099574,Churton Park
28,1,27,5923,Northland Road (near 87),-41.28150761,174.7590426,Northland
30,1,29,3918,Main Road Tawa (near 249),-41.16506809,174.8268446,Tawa
32,1,31,5423,Cashmere Avenue School (opposite),-41.24783969,174.7985969,Khandallah
33,1,32,7795,Happy Valley Road (near 305),-41.32691632,174.7582324,Owhiro Bay
36,1,35,6040,Dundas Street at Falkirk Avenue,-41.32254646,174.8305202,Seatoun
39,1,38,7131,The Parade (near 98),-41.33253142,174.7735137,Island Bay
40,1,39,7123,Luxford Street at Rintoul Street,-41.31986465,174.7775174,Berhampore
41,1,40,6140,Frobisher Street (near 35),-41.34179991,174.7626964,Island Bay
42,1,41,3980,Middleton Road (near 48),-41.218359,174.809539,Johnsonville
43,1,42,6017,Wellington Hospital - Stop C,-41.308939,174.778593,Newtown
44,1,43,5133,Gloucester Street at Worcester Street (near 21),-41.27009861,174.7570649,Wilton
47,1,46,5454,Bombay Street at Tarikaka Street,-41.24945,174.7811,Ngaio
50,1,49,5516,Courtenay Place - Stop C,-41.29375246,174.7827796,Te Aro
51,1,50,3772,Glanmire Road at Turville Crescent,-41.2291556,174.8239749,Newlands
52,1,51,5098,Jervois Quay at Frank Kitts Park,-41.287709,174.778363,Wellington Central
53,1,52,6091,Raukawa Street at Monorgan Road (opposite 4D),-41.32865,174.81773,Strathmore Park
60,1,59,7092,Raukawa Street (near 40),-41.33114275,174.8166604,Strathmore Park
62,1,61,7124,Adelaide Road at Berhampore Shops,-41.32008781,174.7752171,Berhampore
63,1,62,6270,Awa Road at Seatoun Heights Road,-41.31224788,174.8267676,Miramar
64,1,63,3909,Takapu Road opposite Bing Lucas Drive,-41.18156,174.834726,Grenada North
65,1,64,6941,Russell Terrace opposite Angus Avenue,-41.319251,174.780581,Newtown
70,1,69,7129,The Parade (near 36),-41.32902251,174.7739488,Island Bay
77,1,76,3220,Amesbury Drive at Derry Hill,-41.20189655,174.8047322,Churton Park
78,1,77,6939,Sinclair Park - Houghton Bay Road,-41.33073411,174.7852217,Houghton Bay
79,1,78,7216,Waitoa Road at Bus Tunnel (near 73),-41.30230235,174.7921126,Hataitai
80,1,79,5117,Grosvenor Terrace at Orchard Street steps,-41.26695547,174.7799014,Wadestown
81,1,80,6769,Karepa Street at Mitchell Street,-41.30737327,174.7580655,Brooklyn
87,1,86,6552,Evans Bay Parade (opposite 508),-41.311453,174.796632,Hataitai
88,1,87,5322,Chaytor Street at Joll Street,-41.28269364,174.7521488,Karori
90,1,89,7924,Wellington Zoo - Stop A,-41.31922279,174.7840711,Newtown
92,1,91,6010,Basin Reserve (school stop),-41.3012281,174.7814013,Mount Victoria
94,1,93,7087,Ira Street at Miramar Avenue (near 95),-41.31801756,174.8197174,Miramar
95,1,94,6025,Crawford Road at Childers Terrace,-41.31720028,174.7934594,Kilbirnie
101,1,100,7037,Broadway at Bentinck Avenue,-41.32410641,174.8230364,Strathmore Park
103,1,102,6540,Evans Bay Parade near Point Jerningham,-41.28775,174.80384,Roseneath
108,1,107,3825,Burma Road near Haumia Street (Raroa Intermediate),-41.2297734,174.799941,Johnsonville
109,1,108,5453,Colway Street at Bombay Street,-41.24993521,174.779678,Ngaio
110,1,109,5911,The Terrace at Bolton Street (near 25),-41.27980466,174.7754307,Wellington Central
112,1,111,3036,McLintock Street (near 3),-41.22702988,174.7930154,Johnsonville
115,1,114,6139,Severn Street (near 121) (school stop),-41.34376785,174.7635861,Island Bay
116,1,115,3550,Newlands Road (near 44),-41.23150288,174.812228,Newlands
118,1,117,7218,Moxham Avenue at Raupo Street (near 88),-41.30747512,174.7929403,Hataitai
119,1,118,7700,Brooklyn - Stop A,-41.30503322,174.765401,Brooklyn
120,1,119,3708,Woodridge Drive (near 91),-41.21522,174.8337,Woodridge
123,1,122,7937,Houghton Bay - near Cave Road,-41.34063963,174.7853727,Houghton Bay
124,1,123,7027,Rongotai Road at Ross Street,-41.31859567,174.7982038,Kilbirnie
125,1,124,JOHN,Johnsonville Station,-41.22334496,174.8047433,Johnsonville
127,1,126,3470,Bracken Road at Oswald Crescent,-41.22213869,174.8234219,Newlands
133,1,132,6126,Adelaide Road (near 543),-41.32384,174.77516,Berhampore
134,1,133,7036,Strathmore Park Shops - Broadway,-41.32459439,174.8206604,Strathmore Park
135,1,134,3056,Truscott Avenue at Fairburn Grove,-41.22554285,174.7959574,Johnsonville
136,1,135,4914,The Terrace (near 230),-41.28796876,174.7723522,Wellington Central
139,1,138,6722,Washington Avenue (near 115),-41.30823748,174.7663311,Brooklyn
140,1,139,3907,Jamaica Drive at Calypso Street (hail and ride) (school stop),-41.189024,174.834912,Grenada North
141,1,140,7269,Nevay Road (opposite 16),-41.31069648,174.8280383,Miramar
144,1,143,6729,The Ridgeway at Kingston Heights Road,-41.32079443,174.7639222,Kingston
145,1,144,6952,Buckley Road (near 146),-41.33926205,174.7812717,Southgate
147,1,146,7024,Crawford Road at Kilbirnie Tennis Club,-41.315993,174.790882,Kilbirnie
148,1,147,6419,Adelaide Road opposite McAlister Park,-41.31710309,174.7755308,Berhampore
150,1,149,4430,Homebush Road (near 33),-41.24897686,174.8065049,Khandallah
151,1,150,4433,Onslow Alms - Onslow Road,-41.25311065,174.8013673,Khandallah
152,1,151,3472,Newlands Medical Centre - Stewart Drive,-41.22233952,174.8221152,Newlands
162,1,161,5930,Pembroke Road (near 203),-41.27064127,174.76281,Wilton
163,1,162,4447,Kenya Street (near 37),-41.25438204,174.7716825,Ngaio
170,1,169,7933,View Road (near 24),-41.33481627,174.7891573,Houghton Bay
173,1,172,6143,Frobisher Street at Murchison Street,-41.337256,174.764832,Island Bay
174,1,173,4930,Mairangi Road at Monmouth Way,-41.270825,174.7625761,Wilton
175,1,174,6933,View Road (near 33),-41.334964,174.789209,Houghton Bay
176,1,175,3809,Burma Road near Haumia Street,-41.229609,174.799963,Johnsonville
179,1,178,7223,Kilbirnie Crescent at Childers Terrace,-41.31603037,174.7937765,Kilbirnie
180,1,179,7094,Taiaroa Street at Tukanae Street (near 24),-41.33410437,174.8173402,Strathmore Park
182,1,181,4386,Duthie Street at Hurman Street,-41.2891624,174.7473063,Karori
183,1,182,6921,Mansfield Street at Horner Street,-41.31746837,174.7810364,Newtown
186,1,185,3816,Rajkot Terrace at Orissa Crescent,-41.23724546,174.7963971,Broadmeadows
187,1,186,7213,Brougham Street at Elizabeth Street,-41.29674489,174.7852703,Mount Victoria
190,1,189,4403,Kaiwharawhara Road (near 68),-41.25754386,174.7827493,Kaiwharawhara
191,1,190,6334,Rua Street at Queens Drive,-41.33008808,174.7920152,Lyall Bay
192,1,191,3204,Middleton Road (near 71),-41.21604521,174.8100119,Johnsonville
196,1,195,6922,Mansfield Street at Roy Street (near 311),-41.31882327,174.7815034,Newtown
200,1,199,7564,Moeller Street at Hawker Street,-41.29218588,174.7908578,Mount Victoria
206,1,205,7946,Mt Albert Road opposite National Hockey Stadium,-41.32644504,174.7803546,Berhampore
211,1,210,7545,Kio Bay (opposite),-41.297499,174.80431,Hataitai
215,1,214,7918,John Street at Adelaide Road (near 11),-41.30723661,174.7773118,Newtown
219,1,218,3900,Middleton Road at Glenside Road,-41.20611147,174.8116463,Churton Park
220,1,219,6946,National Hockey Stadium,-41.32652479,174.7804805,Berhampore
221,1,220,7064,Worser Bay - Marine Parade (opposite 185),-41.31463618,174.827639,Seatoun
222,1,221,3274,Halswater Drive opposite Lakewood Reserve,-41.20726,174.805046,Churton Park
223,1,222,7251,Maupuia Road at Miramar Avenue,-41.314427,174.812871,Miramar
228,1,227,4459,Khandallah - Box Hill at Station Road East,-41.24228705,174.7924128,Khandallah
229,1,228,7399,Wellington International Airport,-41.32845388,174.8126281,Rongotai
233,1,232,5914,Salamanca Road at The Terrace,-41.28879378,174.7714192,Te Aro
234,1,233,5113,Molesworth Street (near 95),-41.27428332,174.7778321,Thorndon
235,1,234,6047,Breaker Bay Road (opposite 124),-41.33433213,174.8257117,Breaker Bay
237,1,236,3050,Johnsonville West - McLintock Street (near 74),-41.22308135,174.7920724,Johnsonville
238,1,237,6119,Rintoul Street at Newtown Shops,-41.31236599,174.7789861,Newtown
239,1,238,7098,Kekerenga Street at Ahuriri Street,-41.33619019,174.8164421,Strathmore Park
243,1,242,3416,Beazley Avenue (near 110),-41.21731087,174.8211406,Paparangi
244,1,243,3232,Waverton Terrace (near 12),-41.20481313,174.8025463,Churton Park
247,1,246,4364,Woodhouse Avenue (opposite 24),-41.28976211,174.7254682,Karori
248,1,247,3520,Link Road (near 29),-41.22769428,174.8252466,Newlands
251,1,250,3982,Middleton Road (near 18),-41.21976284,174.8084443,Johnsonville
252,1,251,7021,Constable Street at Owen Street (near 84),-41.31299751,174.7847375,Newtown
253,1,252,6768,Karepa Street (near 175),-41.30602639,174.7577904,Brooklyn
254,1,253,6153,Owhiro Bay - Happy Valley Road (near 4),-41.34410014,174.7595314,Owhiro Bay
260,1,259,7912,Taranaki Street at Abel Smith Street,-41.29718895,174.7760654,Te Aro
263,1,262,4117,Grosvenor Terrace opposite Orchard Street,-41.26722742,174.7797894,Thorndon
264,1,263,6088,Ira Street at Otaki Street,-41.32108693,174.8203238,Miramar
268,1,267,3610,Newlands Shops - Bracken Road,-41.22267889,174.8234369,Newlands
269,1,268,6156,The Esplanade (near 354),-41.34794813,174.7670457,Island Bay
271,1,270,5460,Station Road (near 7),-41.24215939,174.7931904,Khandallah
272,1,271,6784,Aro Street at Epuni Street,-41.29535701,174.7663418,Aro Valley
273,1,272,6011,Wellington College (school grounds),-41.303073,174.782552,Mount Victoria
275,1,274,7343,Coutts Street at Rongotai College (school stop),-41.32173654,174.8019421,Rongotai
277,1,276,7034,Broadway opposite Crawford Green,-41.32526068,174.8145042,Miramar
280,1,279,5412,Punjab Street at Cockayne Road,-41.25209739,174.7854656,Khandallah
281,1,280,4927,Pembroke Road (near 72),-41.27636646,174.7595015,Northland
284,1,283,3200,Middleton Road (near 25),-41.21943,174.80837,Johnsonville
286,1,285,6264,Nevay Road (near 170),-41.29987372,174.8289304,Karaka Bays
293,1,292,5012,Lambton Central - Stop A,-41.2826662,174.7756665,Wellington Central
294,1,293,5469,Burma Road at Fraser Avenue,-41.23676735,174.7981739,Johnsonville
295,1,294,7772,Mitchell Street opposite Virginia Grove,-41.31278631,174.7574942,Brooklyn
299,1,298,7327,Onepu Road at Cruickshank Street,-41.32075882,174.7953439,Kilbirnie
300,1,299,4324,Marsden Village - Karori Road,-41.28229753,174.7460675,Karori
301,1,300,3206,Middleton Road at Churton Drive,-41.2139538,174.8112663,Churton Park
302,1,301,5503,Lambton Quay - Old Govt Buildings (school stop),-41.27921957,174.7777733,Pipitea
303,1,302,4419,Khandallah Village - Stop A,-41.24732664,174.7910641,Khandallah
304,1,303,4362,Parklands Drive (near 18),-41.29065352,174.7260888,Karori
306,1,305,3959,Tawa Intermediate School and College (school stop),-41.16408154,174.8308663,Tawa
307,1,306,6335,Sutherland Road at Rua Street,-41.331349,174.790438,Lyall Bay
311,1,310,5328,Karori Road at St Teresa's School,-41.28556869,174.7347914,Karori
312,1,311,3917,Jamaica Drive at Grenada North Park,-41.186237,174.836814,Grenada North
316,1,315,7517,Oriental Parade (near 260),-41.29112111,174.7956056,Oriental Bay
318,1,317,3530,Somes Crescent at Sunhaven Drive (near 23),-41.2265154,174.8314177,Newlands
320,1,319,3460,Paparangi Shops (opposite),-41.21384667,174.8180624,Paparangi
321,1,320,6526,Grafton Road (near 97),-41.29374564,174.8005742,Roseneath
322,1,321,5349,Montgomery Ave opposite Alanbrooke Pl,-41.27959918,174.7306522,Karori
324,1,323,5934,Mairangi Road at Rutland Way (near 92),-41.26616183,174.7671064,Wadestown
325,1,324,5127,Wadestown School - Wilton Road,-41.26249236,174.765575,Wadestown
327,1,326,6067,Karaka Bay Road (near 321),-41.3082987,174.831555,Karaka Bays
329,1,328,CROF,Crofton Downs Station,-41.25504083,174.7664988,Crofton Downs
331,1,330,5136,Churchill Drive at Wilton Bush Road,-41.263201,174.763316,Wilton
332,1,331,5945,Highbury Road opposite Moana Road,-41.29198636,174.7570551,Highbury
335,1,334,4934,Mairangi Road at Rutland Way (near 107),-41.26569016,174.7667921,Wadestown
338,1,337,4394,Beauchamp Street at Henderson Street,-41.28919352,174.739306,Karori
339,1,338,4456,Mysore Street (near 14),-41.25042003,174.7832716,Ngaio
341,1,340,6920,Riddiford Street near Donald Mclean Street,-41.31576512,174.7805122,Newtown
342,1,341,7301,Strathmore Avenue (near 34),-41.326425,174.820418,Strathmore Park
345,1,344,3822,Kanpur Road (near 59),-41.23758621,174.7918721,Broadmeadows
346,1,345,6224,Kilbirnie - Stop A,-41.31717,174.79587,Kilbirnie
354,1,353,4405,Ngaio Gorge Road (near 67),-41.25658348,174.7754447,Ngaio
355,1,354,4431,Homebush Road (near 1),-41.25080374,174.8048844,Khandallah
357,1,356,6528,Grafton Road (near 171),-41.29678808,174.8018522,Hataitai
358,1,357,6792,Ohiro Road (near 329),-41.31254051,174.7617883,Brooklyn
360,1,359,7785,Aro Street opposite Durham Street,-41.29493422,174.7636015,Aro Valley
361,1,360,3262,Ngauranga - Hutt Road (opposite motorway),-41.24752696,174.8127902,Ngauranga
362,1,361,7788,Raroa Road opposite Harrold Street Walkway,-41.291753,174.75967,Aro Valley
365,1,364,4120,Lennel Road at Sefton Street,-41.26409097,174.7787493,Wadestown
366,1,365,6914,Massey University - Wallace Street,-41.3022585,174.7744113,Mount Cook
369,1,368,3829,John Sims Drive (near 45),-41.23333782,174.7954746,Broadmeadows
371,1,370,3700,Horokiwi Road at Pinkerton Grove,-41.22270841,174.8272553,Newlands
372,1,371,3612,Bracken Road at Carluke Street,-41.21799648,174.8205063,Paparangi
373,1,372,9997,Queens Wharf,-41.28340147,174.7791615,Wellington Central
374,1,373,7417,Adelaide Road at Hall Street (near 254),-41.31032657,174.7768999,Newtown
